 1	 7	 29.628	 3.787	  0.408	 1.107
 1	 8	 30.037	 3.012	  0.530	 0.876
 1	 9	 31.776	 2.458	  1.042	 0.710
 1	10	 32.993	 2.206	  1.401	 0.634
 1	11	 35.181	 2.154	  2.040	 0.614
 1	12	 35.184	 1.849	  2.041	 0.524
 1	13	 37.386	 1.875	  2.678	 0.528
 1	14	 38.166	 1.689	  2.904	 0.473
 1	15	 39.301	 1.581	  3.230	 0.440
 1	16	 39.711	 1.430	  3.347	 0.395
 1	17	 40.470	 1.309	  3.564	 0.359
 1	18	 40.484	 1.173	  3.567	 0.320
 1	19	 40.617	 1.052	  3.605	 0.285
 1	20	 41.001	 0.954	  3.713	 0.257
 1	21	 41.176	 0.855	  3.761	 0.229
 1	22	 41.415	 0.771	  3.828	 0.205
 1	23	 41.884	 0.734	  3.957	 0.193
 1	24	 41.813	 0.662	  3.938	 0.173
 1	25	 41.540	 0.617	  3.863	 0.160
 1	26	 41.173	 0.594	  3.763	 0.153
 1	27	 40.681	 0.605	  3.630	 0.154
 1	28	 40.096	 0.638	  3.472	 0.161
 1	29	 39.362	 0.716	  3.275	 0.179
 1	30	 38.610	 0.783	  3.074	 0.195
 2	 8	 33.906	 1.896	  1.630	 0.548
 2	 9	 34.957	 1.503	  1.937	 0.431
 2	10	 35.929	 1.415	  2.222	 0.404
 2	11	 37.872	 1.564	  2.785	 0.443
 2	12	 37.551	 1.346	  2.692	 0.380
 2	13	 39.575	 1.487	  3.273	 0.416
 2	14	 40.169	 1.325	  3.444	 0.369
 2	15	 41.144	 1.251	  3.722	 0.346
 2	16	 41.413	 1.118	  3.798	 0.307
 2	17	 42.017	 1.018	  3.969	 0.278
 2	18	 41.879	 0.911	  3.930	 0.247
 2	19	 41.874	 0.810	  3.929	 0.218
 2	20	 42.135	 0.726	  4.001	 0.194
 2	21	 42.190	 0.644	  4.016	 0.171
 2	22	 42.324	 0.574	  4.053	 0.151
 2	23	 42.727	 0.554	  4.164	 0.145
 2	24	 42.557	 0.504	  4.117	 0.131
 2	25	 42.192	 0.495	  4.018	 0.127
 2	26	 41.737	 0.507	  3.896	 0.129
 2	27	 41.165	 0.556	  3.742	 0.141
 2	28	 40.505	 0.621	  3.566	 0.156
 2	29	 39.699	 0.726	  3.351	 0.181
 2	30	 38.881	 0.811	  3.134	 0.200
 3	 9	 35.890	 2.035	  2.200	 0.579
 3	10	 37.030	 1.802	  2.530	 0.510
 3	11	 39.305	 1.824	  3.182	 0.513
 3	12	 38.677	 1.575	  3.002	 0.441
 3	13	 40.917	 1.627	  3.638	 0.452
 3	14	 41.426	 1.403	  3.783	 0.387
 3	15	 42.370	 1.279	  4.049	 0.351
 3	16	 42.540	 1.123	  4.097	 0.306
 3	17	 43.059	 0.992	  4.242	 0.269
 3	18	 42.781	 0.893	  4.164	 0.240
 3	19	 42.664	 0.789	  4.132	 0.211
 3	20	 42.847	 0.694	  4.182	 0.184
 3	21	 42.813	 0.610	  4.173	 0.161
 3	22	 42.876	 0.537	  4.190	 0.140
 3	23	 43.253	 0.514	  4.292	 0.133
 3	24	 43.002	 0.475	  4.225	 0.122
 3	25	 42.556	 0.487	  4.105	 0.124
 3	26	 42.025	 0.519	  3.963	 0.131
 3	27	 41.382	 0.585	  3.792	 0.147
 3	28	 40.654	 0.662	  3.600	 0.165
 3	29	 39.779	 0.778	  3.369	 0.192
 3	30	 38.900	 0.868	  3.139	 0.212
 4	10	 39.122	 1.422	  3.109	 0.401
 4	11	 41.259	 1.567	  3.718	 0.438
 4	12	 40.269	 1.466	  3.436	 0.408
 4	13	 42.442	 1.523	  4.049	 0.420
 4	14	 42.794	 1.285	  4.148	 0.352
 4	15	 43.623	 1.152	  4.380	 0.314
 4	16	 43.673	 0.999	  4.395	 0.271
 4	17	 44.068	 0.865	  4.504	 0.233
 4	18	 43.650	 0.803	  4.388	 0.214
 4	19	 43.416	 0.715	  4.324	 0.190
 4	20	 43.510	 0.620	  4.349	 0.163
 4	21	 43.383	 0.545	  4.315	 0.142
 4	22	 43.373	 0.475	  4.312	 0.123
 4	23	 43.720	 0.456	  4.405	 0.117
 4	24	 43.394	 0.436	  4.318	 0.111
 4	25	 42.874	 0.476	  4.180	 0.120
 4	26	 42.275	 0.530	  4.021	 0.133
 4	27	 41.568	 0.614	  3.835	 0.153
 4	28	 40.779	 0.703	  3.628	 0.173
 4	29	 39.843	 0.830	  3.383	 0.203
 4	30	 38.910	 0.925	  3.141	 0.224
 5	11	 43.149	 1.788	  4.237	 0.496
 5	12	 41.468	 1.851	  3.763	 0.511
 5	13	 43.890	 1.706	  4.439	 0.467
 5	14	 44.062	 1.387	  4.487	 0.378
 5	15	 44.808	 1.182	  4.694	 0.319
 5	16	 44.711	 1.012	  4.667	 0.272
 5	17	 44.978	 0.845	  4.740	 0.225
 5	18	 44.374	 0.823	  4.574	 0.218
 5	19	 44.002	 0.743	  4.473	 0.196
 5	20	 44.013	 0.633	  4.476	 0.166
 5	21	 43.794	 0.558	  4.417	 0.145
 5	22	 43.719	 0.483	  4.397	 0.124
 5	23	 44.056	 0.457	  4.487	 0.117
 5	24	 43.652	 0.450	  4.380	 0.114
 5	25	 43.055	 0.508	  4.222	 0.128
 5	26	 42.383	 0.574	  4.046	 0.143
 5	27	 41.609	 0.666	  3.844	 0.164
 5	28	 40.755	 0.760	  3.622	 0.186
 5	29	 39.754	 0.892	  3.364	 0.216
 5	30	 38.763	 0.989	  3.109	 0.238
 6	12	 42.464	 2.202	  4.032	 0.605
