   0.00000000	 -0.02341738
   0.02980384	 -0.02341738
   0.02980384	 -0.01556716
   0.07407107	 -0.01556716
   0.07407107	 -0.00064730
   0.14222886	 -0.00064730
   0.14222886	  0.02320664
   0.21709214	  0.02320664
   0.21709214	  0.06186657
   0.29984842	  0.06186657
   0.29984842	  0.12018357
   0.37385631	  0.12018357
   0.37385631	  0.18525108
   0.44593940	  0.18525108
   0.44593940	  0.23114831
   0.51224531	  0.23114831
   0.51224531	  0.26720901
   0.58062505	  0.26720901
   0.58062505	  0.30616821
   0.64844645	  0.30616821
   0.64844645	  0.34260760
   0.71459790	  0.34260760
   0.71459790	  0.36997466
   0.78637227	  0.36997466
   0.78637227	  0.38842280
   0.85861972	  0.38842280
   0.85861972	  0.40617777
   0.92409117	  0.40617777
